Sl. No,Question,Answer
1,What system of philosophy is Saunaka said to be skilled in?,Sankhya
2,"What is the term for the remnant of food after feeding guests, considered sacred?",Vighasa
3,Who is the priest consulted by Yudhishthira for guidance?,Dhaumya
4,Which deity is identified as the ultimate source of all food and life?,Surya
5,What is the name of the inexhaustible vessel granted by the sun?,Akshaya
6,What is the name for the great destructive fire mentioned in dissolution?,Samvartaka
7,What three purposes of life does Vidura explicitly mention?,"Profit,pleasure,salvation"
8,Name the three rivers in which the Pandavas perform their ritualistic bathing?,"Saraswati,Drisadwati,Yamuna"
9,Where were the Pandavas residing when Sanjaya visited them?,Kamyaka
10,Who acted as a mediator between Dhritarashtra and the Pandavas?,Sanjaya
11,Who is called the “son of Suvala” ?,Sakuni
12,Who slew the Rakshasa Kirmira?,Bhima
13,Which body part does Maitreya curse Bhima to strike?,Thigh
14,Where was the rakshasa called Baka killed ?,Vetrakiya
15,On whose command did Arjuna leave kamyaka to pray to Lord Shiva ?,Yudhishthira
16,What is the name of Lord Shiva's bow ?,Pinaka
17,What form did Lord Shiva assume in order to meet Arjuna ?,Kirata
18,Which Asura was in the form of a boar ?,Mukasura
19,Which plce did Arjuna burn ?,Khandava
20,What weapon did Lord Shiva give Arjuna ?,Pasupata
21,Who is the son of Bharadwaja ?,Drona
22,Which Rakshasa was slain by Bhima before the birth of Ghatotkacha?,Hidimba
23,Which Asura’s earrings were obtained by Krishna after slaying him?,Naraka
24,Which town did the Pandavas reach after escaping the burning house at Varanavata?,Ekachakra
25,Which king is referred to as the son of Virasena who lost his kingdom due to dice?,Nala
26,Which king’s death provoked Salwa’s attack on Dwaraka?,Sisupala
27,What is the name of the conch blown by Krishna before challenging Salwa to battle?,Panchajanya
28,Which Asura was slain by Samva using a mace?,Vegavat
29,Which Daitya was slain by Charudeshna using a weapon empowered by incantations?,Vivindhya
30,Who was the charioteer of Pradyumna?,Daruka
31,By whose hands was Salwa’s death ordained according to the divine message?,Krishna
32,"Which horse, alongside Sugriva, was yoked to Krishna’s chariot as he set out for battle?",Saivya
33,Which legendary figure did Markandeya recall upon seeing Pandava's plight?,Rama
34,What knowledge did Vyasa impart to Yudhishthira?,Pratismriti
35,Who was the charioteer of Sakra?,Matali
36,What was the city of Indra?,Amaravati
37,Who headed the band of Gandharvas?,Tumburu
38,"From whom did Arjuna learn Various types of Music,Instruments and Dance of the Gandharvas?",Chitrasena
39,Who was the queen of Indra?,Sachi
40,"Who's glance alone destroyed 60,000 sons of Sagara?",Kapila
41,Who deceitfully defeated King Nala at play?,Pushkara
42,Who granted the boon of children to the king of Vidarbha?,Damana
43,To which celestial being is Damayanti's beauty compared?,Sachi
44,What was the name of the daughter born to the couple?,Indrasenaa
45,What was the name of Nala's charioteer?,Varshneya
46,"What was the name of Damayanti’s father-in-law, the high-famed ruler of the Nishadhas?",Virasena
47,What was the name of the snake that bit Nala?,Karkotaka
48,Who cursed Karkotaka?,Rishi Narada
49,What was Rituparna skilled in?,Game of Dice
50,What postion did Rituparna give to Vahuka?,Stable's Superintendent
51,Who were placed under Vahuka's direction?,Varshneya and Jivala
52,What name did Sunanda use for Damayanti?,Sairindhri.
53,Who was the father of Damayanti?,Bhima
54,By whom was Nala defeated in dice?,Pushkara
55,Who suspected that Vahuka might be Nala?,Varshneya
56,What knowledge did Nala receive from Rituparna?,The science of dice
57,What happened when Nala learned the science of dice?,Kali came out of his body
58,Which deity confirmed Damayanti’s purity from the sky?,Vayudeva
59,"According to Nala, who was responsible for his earlier defeat?",Kali
60,Who offered Yudhistira to teach the game of dice?,Brihadaswa
